composer,title,split,performer,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.9357,0.7613,0.9332,0.4369,0.2535,0.5012
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.3153,0.0307,0.4257,0.3153,0.0307,0.4257
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.2371,0.041,0.3034,0.2371,0.041,0.3034
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.1446,-0.0062,0.1936,0.1446,-0.0062,0.1936
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.472,0.3209,0.455,0.1452,0.1554,0.1669
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.0832,0.0266,0.0886,0.0832,0.0266,0.0886
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.1678,0.0614,0.2512,0.1678,0.0614,0.2512
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.8787,0.8019,0.9255,0.2903,0.2913,0.3294
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.1775,0.0991,0.1947,0.1775,0.0991,0.1947
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.075,0.0371,0.1371,0.075,0.0371,0.1371
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.0981,-0.0213,0.1027,0.0981,-0.0213,0.1027
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.5152,0.412,0.5967,0.148,0.0452,0.152
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.2852,0.1785,0.2978,0.2852,0.1785,0.2978
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.4644,0.4353,0.4815,0.4437,0.3766,0.4339
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.2993,0.0915,0.3343,0.2993,0.0915,0.3343
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.0339,0.0629,0.0752,0.0339,0.0629,0.0752
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.0356,0.0861,0.1128,0.0372,0.0662,0.1076
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.0426,0.0175,0.0806,0.0426,0.0175,0.0806
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.1821,0.119,0.2462,0.1821,0.119,0.2462
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.263,0.1462,0.3215,0.263,0.1462,0.3215
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.5741,0.4618,0.5312,0.5362,0.4305,0.5148
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,0.0101,0.0209,0.0545,0.0101,0.0209,0.0545
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.0208,0.1082,0.0539,0.0208,0.1082,0.0539
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.021,0.0966,0.0709,-0.0031,0.0867,0.0596
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.6273,0.8345,0.7106,0.6273,0.8499,0.7215
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.5616,0.6509,0.587,0.5616,0.6509,0.587
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.1289,0.2773,0.1878,0.1289,0.2773,0.1878
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,-0.0296,0.0565,0.2104,-0.0296,0.0565,0.2104
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.0341,0.3504,0.2905,0.0341,0.353,0.2868
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.0355,0.3547,0.2869,0.0355,0.3547,0.2869
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.4356,0.1796,0.585,0.4356,0.1796,0.585
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.1815,0.6672,0.206,0.1815,0.6672,0.206
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.6331,0.6905,0.6828,0.6459,0.6902,0.6902
