composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.677,0.6627,0.0,451.0,1796.0,2.12,0.0759
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,-0.0887,0.6391,0.0,1341.0,7696.0,1.2426,0.129
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.4726,0.5674,0.0,963.0,3686.0,1.6894,6.1643
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.5041,0.0946,0.0,1050.0,3844.0,2.0988,6.0983
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.5468,0.103,0.0,602.0,2575.0,1.5403,0.419
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,-0.0337,0.0462,0.0,1647.0,5922.0,1.458,0.3603
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.4195,0.2863,0.0,940.0,3624.0,4.2862,6.9471
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.5065,0.2852,0.0,798.0,2502.0,0.3756,0.153
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.0101,0.0641,0.0,2965.0,7501.0,1.8001,0.1043
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.1216,0.0686,0.0,785.0,3197.0,4.3081,6.8554
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,-0.014,0.0726,0.0,3008.0,8503.0,1.9193,0.3608
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.1319,0.0682,0.0,756.0,2508.0,1.1236,0.5103
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.5834,0.5777,0.0,1187.0,6615.0,0.9562,0.0705
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.1606,0.292,0.0,6567.0,38179.0,1.824,0.163
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.7011,0.743,0.0,1858.0,8796.0,2.5887,7.7027
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.4704,0.1709,0.0,1904.0,14727.0,2.1375,7.3699
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.4186,0.1683,0.0,1852.0,12915.0,1.9342,0.7073
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.0209,0.1815,0.0,6970.0,38150.0,2.4206,0.6235
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.2421,0.4917,0.0,425.0,1256.0,0.2539,0.1101
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.0025,0.4069,0.0,1911.0,7752.0,0.4999,0.206
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.723,0.2001,0.0,499.0,1850.0,0.1696,6.6964
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,-0.0063,0.2706,0.0,1731.0,6992.0,1.5638,0.7468
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,-0.0207,0.2357,0.0,385.0,2045.0,0.1771,6.3433
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.0388,0.242,0.0,461.0,1659.0,0.1296,1.0149
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.1889,0.3394,0.0,984.0,3853.0,0.7808,7.3442
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.0624,0.0163,0.0,6556.0,7617.0,0.608,0.1213
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.5013,0.4781,0.0,908.0,2832.0,0.5345,0.0464
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.0374,0.0854,0.0,5244.0,14732.0,1.4003,0.6235
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.0976,0.0752,0.0,1073.0,3787.0,0.5997,0.8385
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.0238,0.0862,0.0,1018.0,3989.0,0.4052,6.8653
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.6141,0.3469,0.0,733.0,2594.0,2.0948,7.165
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.5941,0.2625,0.0,440.0,1967.0,0.5556,0.075
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.0606,0.0018,0.0,2343.0,8074.0,0.6145,0.1176
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.0682,-0.0267,0.0,703.0,3149.0,3.7839,6.842
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,-0.186,-0.0424,0.0,4974.0,12060.0,3.3725,0.7316
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.1053,-0.037,0.0,742.0,2885.0,3.7505,0.7787
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.0312,0.0957,0.0,5858.0,10158.0,0.1415,0.1591
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.4456,0.456,0.0,567.0,1873.0,1.3533,0.0571
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.4236,0.436,0.0,777.0,2906.0,2.4389,6.9418
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.0,-0.0506,0.0,3815.0,15043.0,3.3192,0.8669
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.031,-0.0427,0.0,887.0,3265.0,2.1686,6.6767
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,-0.0257,-0.0522,0.0,564.0,2787.0,3.3274,1.1566
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,-0.0279,0.0622,0.0,7458.0,13985.0,1.4402,0.1502
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.6515,0.443,0.0,797.0,2897.0,1.539,7.1598
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.6009,0.4175,0.0,504.0,1720.0,1.1113,0.0566
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.0761,0.0478,0.0,633.0,3058.0,1.2196,0.7256
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.0594,0.0505,0.0,918.0,3894.0,1.3086,6.8335
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,-0.084,0.0479,0.0,3816.0,17616.0,1.2495,0.7229
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.6645,0.4276,0.0,859.0,2792.0,0.473,6.8002
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.5016,0.4589,0.0,431.0,1761.0,0.276,0.0728
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.0902,0.4313,0.0,2084.0,6317.0,0.5344,0.1729
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.0642,0.1408,0.0,3443.0,10855.0,0.7893,1.0686
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.1772,0.1552,0.0,907.0,3819.0,0.5872,1.6766
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.2045,0.1576,0.0,979.0,4344.0,0.6601,6.5561
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,-0.2264,0.2549,0.0,2797.0,9528.0,1.2894,0.1509
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.5393,0.4802,0.0,1082.0,3324.0,1.2383,7.0306
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.3331,0.3992,0.0,783.0,2273.0,0.4181,0.1242
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,-0.1214,0.1103,0.0,3826.0,8968.0,1.2502,0.7519
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.1469,0.1218,0.0,976.0,3927.0,1.382,6.7205
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.0417,0.1207,0.0,871.0,3318.0,1.0314,1.1802
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.3711,0.0352,0.0,224.0,321.0,0.5888,5.9454
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.6158,0.0128,0.0,116.0,172.0,0.5089,0.1897
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,-0.0133,0.19,0.0,959.0,898.0,0.5335,0.2469
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.1028,0.1157,0.0,213.0,309.0,0.6882,5.8734
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.0424,0.1011,0.0,229.0,1020.0,0.453,0.8163
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.1311,0.1096,0.0,104.0,160.0,0.5486,0.7634
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.4971,0.1718,0.0,206.0,331.0,0.9658,6.2442
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.2871,0.1466,0.0,106.0,175.0,0.8163,0.1714
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.0571,0.1473,0.0,445.0,400.0,0.5903,0.14
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.0711,0.1484,0.0,342.0,462.0,0.7861,0.7423
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.1122,0.1325,0.0,126.0,200.0,0.6952,0.8442
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.0927,0.1414,0.0,202.0,324.0,0.9668,6.2568
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.6168,-0.017,0.0,113.0,174.0,0.6665,0.2242
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.0485,0.1653,0.0,645.0,1096.0,0.5817,0.1207
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.3785,0.0361,0.0,225.0,340.0,0.5135,6.5607
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.1109,0.1722,0.0,1460.0,794.0,0.7862,0.9687
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,-0.0263,0.155,0.0,201.0,444.0,0.576,6.6026
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.1434,0.1601,0.0,137.0,281.0,0.5107,1.4485
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.2762,0.452,0.0,234.0,327.0,1.0959,5.9478
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.0699,0.2659,0.0,824.0,417.0,0.5878,0.1206
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.2643,0.3728,0.0,87.0,198.0,0.5412,0.3488
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,-0.0414,0.0868,0.0,252.0,387.0,0.9632,5.8493
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,-0.0289,0.0932,0.0,568.0,1244.0,0.6036,1.4882
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.0535,0.1039,0.0,180.0,268.0,0.7336,1.5244
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.57,0.3471,0.0,109.0,267.0,0.3865,0.2513
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.0463,0.2163,0.0,1261.0,1159.0,1.0314,0.1482
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.6288,0.4451,0.0,194.0,325.0,0.7161,6.0419
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.1176,0.1802,0.0,145.0,227.0,0.4193,3.1614
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.1176,0.1823,0.0,316.0,610.0,0.8932,1.3278
