composer,title,split,performer,model,recording,p_nov,r_nov,f_nov
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.0085,0.008,0.0083
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.0078,0.0072,0.0075
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.0024,0.0025,0.0025
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.0142,0.0143,0.0143
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.742,0.6915,0.7159
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.8904,0.8662,0.8781
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.7283,0.6915,0.7094
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.7606,0.7508,0.7556
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.5408,0.5521,0.5464
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.6644,0.625,0.6441
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.4539,0.4344,0.4439
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.7227,0.7048,0.7136
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.6074,0.5621,0.5839
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.3221,0.2987,0.3099
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.2744,0.2805,0.2774
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.3855,0.3818,0.3837
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.8631,0.8438,0.8534
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.5057,0.4684,0.4863
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.4347,0.4176,0.426
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.6919,0.6954,0.6937
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.3697,0.3627,0.3662
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.3841,0.3664,0.3751
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.8595,0.8573,0.8584
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.4684,0.458,0.4632
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.5424,0.5225,0.5323
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.4068,0.3766,0.3911
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.6078,0.6044,0.6061
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.3768,0.3694,0.3731
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.4034,0.3957,0.3995
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.8866,0.882,0.8843
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.4593,0.4391,0.449
