composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Chopin,Scherzos_31,train,kong,disklavier,0.3935,0.1224,0.1837,s,12
Chopin,Scherzos_31,train,oaf,disklavier,0.8161,-0.071,-0.2174,s,12
Chopin,Scherzos_31,train,T5,disklavier,0.3296,0.1549,0.3162,s,6
Chopin,Scherzos_31,train,kong,disklavier,0.3941,0.0911,0.1532,s,6
Chopin,Scherzos_31,train,oaf,disklavier,0.7363,-0.1244,-0.2576,s,6
Chopin,Scherzos_31,train,T5,disklavier,0.2013,0.0751,0.093,m,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.728,0.0795,-0.0533,m,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.898,-0.0182,-0.217,m,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.3678,0.2082,0.1582,m,24
Chopin,Scherzos_31,train,kong,disklavier,0.5272,0.0195,0.2226,m,24
Chopin,Scherzos_31,train,oaf,disklavier,0.8444,0.0204,-0.1712,m,24
Chopin,Scherzos_31,train,T5,disklavier,0.4205,0.1665,0.2861,m,12
Chopin,Scherzos_31,train,kong,disklavier,0.416,0.0947,0.236,m,12
Chopin,Scherzos_31,train,oaf,disklavier,0.351,0.0183,-0.0643,m,12
Chopin,Scherzos_31,train,T5,disklavier,0.0699,0.0746,-0.0532,m,6
Chopin,Scherzos_31,train,kong,disklavier,0.3906,0.1427,0.215,m,6
Chopin,Scherzos_31,train,oaf,disklavier,0.2008,0.1813,-0.0721,m,6
Chopin,Scherzos_31,train,T5,disklavier,0.1247,-0.1061,0.1712,l,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.5468,0.1231,0.0401,l,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.7779,0.0853,-0.109,l,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.3937,0.2251,0.0333,l,24
Chopin,Scherzos_31,train,kong,disklavier,0.5119,0.0357,-0.0188,l,24
Chopin,Scherzos_31,train,oaf,disklavier,0.7548,0.064,-0.1032,l,24
Chopin,Scherzos_31,train,T5,disklavier,0.2934,0.161,-0.2021,l,12
Chopin,Scherzos_31,train,kong,disklavier,0.4148,0.0862,0.2043,l,12
Chopin,Scherzos_31,train,oaf,disklavier,0.6798,-0.014,-0.1227,l,12
Chopin,Scherzos_31,train,T5,disklavier,0.0375,0.122,-0.1162,l,6
Chopin,Scherzos_31,train,kong,disklavier,0.2996,0.1541,0.2542,l,6
Chopin,Scherzos_31,train,oaf,disklavier,0.2848,0.1015,-0.0763,l,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.6588,0.3282,0.265,norev,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.8874,0.3185,0.0525,norev,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8757,0.3126,0.2627,norev,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.6157,0.3397,0.1813,norev,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.8455,0.2689,0.1747,norev,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8716,0.3235,0.2589,norev,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.034,0.1644,0.1102,norev,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.6562,0.1529,0.2825,norev,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8583,0.2442,0.1868,norev,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2115,0.1845,0.1129,norev,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5533,0.2276,0.2945,norev,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7775,0.2337,0.0983,norev,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.5614,0.3655,0.0792,s,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.9191,0.2384,0.061,s,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.9134,0.2434,0.1733,s,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.5506,0.3198,-0.0469,s,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7599,0.1476,0.082,s,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8435,0.264,0.2004,s,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3443,0.2445,0.0742,s,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4983,0.1626,0.3279,s,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8099,0.2515,-0.0724,s,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2581,0.0845,-0.2276,s,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.3278,0.1465,0.1337,s,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7595,0.2104,-0.021,s,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.4887,0.2806,0.2183,m,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7043,0.2768,0.1557,m,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.9124,0.2741,0.1792,m,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.1013,0.1781,0.1424,m,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7568,0.1778,0.0699,m,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.9065,0.2712,0.2327,m,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.157,0.1044,-0.0863,m,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.3316,0.0351,0.1875,m,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.801,0.2129,-0.2265,m,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0846,0.1339,-0.0621,m,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2763,0.1096,0.1936,m,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.3857,0.0723,-0.0945,m,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3036,0.247,0.1551,l,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5398,0.1985,0.0989,l,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8578,0.2498,0.1473,l,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0039,0.1932,0.0929,l,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.613,0.0958,0.3038,l,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8759,0.2405,0.1806,l,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3206,0.0794,0.2571,l,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.3906,0.1689,0.3027,l,12
