composer,title,split,model,recording,p_no,r_no,f_no,reverb,snr
Chopin,Scherzos_31,train,T5,disklavier,0.0096,0.0038,0.0054,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.6407,0.4728,0.5441,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.7262,0.6538,0.6881,norev,12
Chopin,Scherzos_31,train,T5,disklavier,0.0009,0.0002,0.0003,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.0179,0.0084,0.0114,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.6539,0.5513,0.5982,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.4618,0.5166,0.4877,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.6594,0.6867,0.6728,s,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.0161,0.0143,0.0152,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.4787,0.3764,0.4214,s,24
Chopin,Scherzos_31,train,kong,disklavier,0.599,0.5671,0.5826,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.6854,0.6004,0.6401,s,24
Chopin,Scherzos_31,train,T5,disklavier,0.01,0.0017,0.0029,s,12
Chopin,Scherzos_31,train,kong,disklavier,0.0173,0.008,0.011,s,12
Chopin,Scherzos_31,train,oaf,disklavier,0.6231,0.525,0.5699,s,12
Chopin,Scherzos_31,train,T5,disklavier,0.0,0.0,0.0,s,6
Chopin,Scherzos_31,train,kong,disklavier,0.0141,0.0029,0.0048,s,6
Chopin,Scherzos_31,train,oaf,disklavier,0.5458,0.3742,0.444,s,6
Chopin,Scherzos_31,train,T5,disklavier,0.0786,0.1827,0.1099,m,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.3096,0.3677,0.3361,m,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.4864,0.4018,0.4401,m,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.0039,0.0031,0.0034,m,24
Chopin,Scherzos_31,train,kong,disklavier,0.0167,0.0119,0.0139,m,24
Chopin,Scherzos_31,train,oaf,disklavier,0.4559,0.3675,0.407,m,24
Chopin,Scherzos_31,train,T5,disklavier,0.0014,0.0003,0.0006,m,12
Chopin,Scherzos_31,train,kong,disklavier,0.011,0.0024,0.0039,m,12
Chopin,Scherzos_31,train,oaf,disklavier,0.0055,0.0029,0.0038,m,12
Chopin,Scherzos_31,train,T5,disklavier,0.0009,0.0002,0.0003,m,6
Chopin,Scherzos_31,train,kong,disklavier,0.0085,0.0007,0.0013,m,6
Chopin,Scherzos_31,train,oaf,disklavier,0.003,0.0017,0.0022,m,6
Chopin,Scherzos_31,train,T5,disklavier,0.0372,0.1177,0.0565,l,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.1097,0.157,0.1291,l,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.1909,0.15,0.168,l,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.0048,0.0061,0.0054,l,24
Chopin,Scherzos_31,train,kong,disklavier,0.0142,0.0099,0.0117,l,24
Chopin,Scherzos_31,train,oaf,disklavier,0.176,0.1356,0.1532,l,24
Chopin,Scherzos_31,train,T5,disklavier,0.0,0.0,0.0,l,12
Chopin,Scherzos_31,train,kong,disklavier,0.0113,0.0022,0.0037,l,12
Chopin,Scherzos_31,train,oaf,disklavier,0.086,0.0558,0.0677,l,12
Chopin,Scherzos_31,train,T5,disklavier,0.0,0.0,0.0,l,6
Chopin,Scherzos_31,train,kong,disklavier,0.0094,0.0007,0.0013,l,6
Chopin,Scherzos_31,train,oaf,disklavier,0.0003,0.0002,0.0002,l,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0409,0.0378,0.0393,norev,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0391,0.0368,0.0379,norev,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.038,0.0342,0.036,norev,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0426,0.0368,0.0395,norev,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0384,0.0358,0.0371,norev,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0352,0.0315,0.0332,norev,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.003,0.0016,0.002,norev,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0389,0.0295,0.0336,norev,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0378,0.0333,0.0354,norev,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,norev,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0042,0.0023,0.003,norev,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0377,0.0292,0.0329,norev,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0364,0.0348,0.0356,s,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7621,0.7207,0.7408,s,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.6618,0.5771,0.6166,s,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0392,0.0286,0.033,s,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0335,0.0303,0.0318,s,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.032,0.0278,0.0298,s,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,s,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.039,0.0205,0.0269,s,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0295,0.0239,0.0264,s,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,s,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0045,0.0012,0.0019,s,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0234,0.0143,0.0177,s,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1496,0.256,0.1889,m,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2263,0.2973,0.257,m,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.351,0.3049,0.3263,m,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0038,0.0033,0.0036,m,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.24,0.2074,0.2225,m,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.3234,0.2706,0.2947,m,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,m,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0044,0.0014,0.0021,m,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.2701,0.1403,0.1847,m,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,m,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0031,0.0004,0.0007,m,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.07,0.0468,0.0561,m,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0532,0.1333,0.076,l,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.074,0.1458,0.0982,l,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.2163,0.1865,0.2003,l,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.003,0.0035,0.0033,l,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1203,0.1211,0.1207,l,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1941,0.1626,0.177,l,24
