composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1548,0.0551,0.1232,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4562,0.0521,0.6678,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2089,0.0632,0.7226,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2555,0.0322,-0.0458,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.379,0.088,0.4457,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2844,-0.0128,0.5832,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.598,0.1051,0.4914,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.7437,0.1787,0.8295,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.7639,0.2,0.8295,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.4768,0.1034,-0.0658,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.7292,0.235,0.7981,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.7576,0.1877,0.8331,norev,24
Chopin,Scherzos_31,train,T5,disklavier,0.157,0.0394,-0.2289,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.5843,0.1233,0.4701,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.7208,0.1778,0.8168,norev,12
Chopin,Scherzos_31,train,T5,disklavier,0.0847,0.071,0.1037,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.4906,0.0705,0.2585,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.6414,0.2003,0.7816,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.3537,0.1278,0.1807,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.5718,0.1727,-0.6685,s,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.788,0.417,0.8868,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.3407,0.0581,-0.1037,s,24
