composer,title,split,performer,model,recording,peamt
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,oaf,disklavier,0.0115
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,kong,disklavier,0.0086
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,T5,disklavier,0.0089
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,oaf,maestro,0.6969
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,kong,maestro,0.571
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,T5,maestro,0.5205
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,kong,disklavier,0.0105
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,T5,disklavier,0.0101
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,oaf,disklavier,0.0146
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,T5,maestro,0.5112
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,oaf,maestro,0.6523
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,kong,maestro,0.6032
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,oaf,disklavier,0.0127
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,T5,disklavier,0.0102
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,kong,disklavier,0.0102
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,T5,maestro,0.4038
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,oaf,maestro,0.5816
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,kong,maestro,0.5257
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,kong,disklavier,0.0069
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,T5,disklavier,0.0069
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,oaf,disklavier,0.0095
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,kong,maestro,0.737
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,oaf,maestro,0.7591
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,T5,maestro,0.7326
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,T5,disklavier,0.0156
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,kong,disklavier,0.0163
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,oaf,disklavier,0.0212
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,T5,maestro,0.7814
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,oaf,maestro,0.7458
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,kong,maestro,0.7916
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,T5,disklavier,0.03
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,oaf,disklavier,0.0404
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,kong,disklavier,0.0314
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,oaf,maestro,0.6635
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,T5,maestro,0.617
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,kong,maestro,0.6274
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,oaf,disklavier,0.0315
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,kong,disklavier,0.0386
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,T5,disklavier,0.0396
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,kong,maestro,0.7818
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,T5,maestro,0.8483
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,oaf,maestro,0.8358
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,kong,disklavier,0.0637
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,T5,disklavier,0.0649
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,oaf,disklavier,0.0691
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,T5,maestro,0.8455
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,kong,maestro,0.8832
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,oaf,maestro,0.8796
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,T5,disklavier,0.0406
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,oaf,disklavier,0.0475
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,kong,disklavier,0.0441
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,T5,maestro,0.7663
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,oaf,maestro,0.7452
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,kong,maestro,0.7739
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,T5,disklavier,0.0226
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,oaf,disklavier,0.0216
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,kong,disklavier,0.0215
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,T5,maestro,0.7499
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,kong,maestro,0.7601
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,oaf,maestro,0.756
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,kong,disklavier,0.0171
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,oaf,disklavier,0.0168
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,T5,disklavier,0.0207
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,T5,maestro,0.7588
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,oaf,maestro,0.6057
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,kong,maestro,0.7541
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,kong,disklavier,0.0278
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,T5,disklavier,0.0153
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,oaf,disklavier,0.0268
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,T5,maestro,0.1212
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,kong,maestro,0.1209
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,oaf,maestro,0.1365
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,kong,disklavier,0.0671
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,oaf,disklavier,0.0218
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,T5,disklavier,0.0122
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,T5,maestro,0.8165
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,kong,maestro,0.8224
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,oaf,maestro,0.687
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,kong,disklavier,0.0354
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,T5,disklavier,0.0318
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,oaf,disklavier,0.0348
Mozart,Piano_Sonatas_12-1,train,MunA03M,T5,maestro,0.6854
Mozart,Piano_Sonatas_12-1,train,MunA03M,oaf,maestro,0.7212
Mozart,Piano_Sonatas_12-1,train,MunA03M,kong,maestro,0.7194
Mozart,Piano_Sonatas_12-1,train,MunA03M,oaf,disklavier,0.0394
Mozart,Piano_Sonatas_12-1,train,MunA03M,kong,disklavier,0.0303
Mozart,Piano_Sonatas_12-1,train,MunA03M,T5,disklavier,0.0362
Mozart,Piano_Sonatas_12-1,train,WuuE02M,T5,maestro,0.5538
Mozart,Piano_Sonatas_12-1,train,WuuE02M,oaf,maestro,0.6384
Mozart,Piano_Sonatas_12-1,train,WuuE02M,kong,maestro,0.6241
Mozart,Piano_Sonatas_12-1,train,WuuE02M,T5,disklavier,0.0201
Mozart,Piano_Sonatas_12-1,train,WuuE02M,kong,disklavier,0.0201
Mozart,Piano_Sonatas_12-1,train,WuuE02M,oaf,disklavier,0.0283
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,oaf,maestro,0.5253
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,kong,maestro,0.5235
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,T5,maestro,0.4943
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,T5,disklavier,0.0251
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,kong,disklavier,0.0489
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,oaf,disklavier,0.0327
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,kong,maestro,0.6843
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,oaf,maestro,0.6829
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,T5,maestro,0.658
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,kong,disklavier,0.0071
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,oaf,disklavier,0.0089
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,T5,disklavier,0.0068
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,oaf,maestro,0.768
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,T5,maestro,0.7626
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,kong,maestro,0.7901
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,kong,disklavier,0.0876
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,T5,disklavier,0.0502
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,oaf,disklavier,0.0679
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,T5,maestro,0.7938
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,kong,maestro,0.8048
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,oaf,maestro,0.8246
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,T5,disklavier,0.0861
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,kong,disklavier,0.0892
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,oaf,disklavier,0.1097
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,kong,maestro,0.7465
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,T5,maestro,0.726
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,oaf,maestro,0.7413
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,kong,disklavier,0.0932
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,T5,disklavier,0.0857
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,oaf,disklavier,0.1017
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,T5,maestro,0.7705
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,oaf,maestro,0.7777
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,kong,maestro,0.7558
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,kong,disklavier,0.0841
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,T5,disklavier,0.078
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,oaf,disklavier,0.1086
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,kong,maestro,0.7991
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,oaf,maestro,0.8112
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,T5,maestro,0.7677
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,kong,disklavier,0.0976
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,T5,disklavier,0.0936
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,oaf,disklavier,0.1231
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,T5,maestro,0.7522
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,kong,maestro,0.7576
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,oaf,maestro,0.7528
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,oaf,disklavier,0.0958
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,kong,disklavier,0.0847
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,T5,disklavier,0.0172
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,T5,maestro,0.705
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,oaf,maestro,0.7309
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,kong,maestro,0.7374
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,T5,disklavier,0.0368
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,kong,disklavier,0.0354
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,oaf,disklavier,0.0462
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,oaf,maestro,0.7088
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,T5,maestro,0.7057
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,kong,maestro,0.7485
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,kong,disklavier,0.0602
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,oaf,disklavier,0.0989
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,T5,disklavier,0.0735
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,oaf,maestro,0.7684
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,kong,maestro,0.7677
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,T5,maestro,0.7295
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,T5,disklavier,0.0464
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,kong,disklavier,0.0437
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,oaf,disklavier,0.0467
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,T5,maestro,0.7124
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,oaf,maestro,0.7583
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,kong,maestro,0.7504
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,kong,disklavier,0.0485
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,oaf,disklavier,0.0947
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,T5,disklavier,0.0692
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,kong,maestro,0.7938
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,oaf,maestro,0.7717
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,T5,maestro,0.7646
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,oaf,disklavier,0.208
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,kong,disklavier,0.1509
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,T5,disklavier,0.1569
Scriabin,Sonatas_5,train,FaB05M,oaf,maestro,0.3709
Scriabin,Sonatas_5,train,FaB05M,T5,maestro,0.3899
Scriabin,Sonatas_5,train,FaB05M,kong,maestro,0.2158
Scriabin,Sonatas_5,train,FaB05M,kong,disklavier,0.016
Scriabin,Sonatas_5,train,FaB05M,T5,disklavier,0.0118
Scriabin,Sonatas_5,train,FaB05M,oaf,disklavier,0.0327
Scriabin,Sonatas_5,train,GarritsonL06M,oaf,maestro,0.4354
Scriabin,Sonatas_5,train,GarritsonL06M,kong,maestro,0.2668
Scriabin,Sonatas_5,train,GarritsonL06M,T5,maestro,0.4177
Scriabin,Sonatas_5,train,GarritsonL06M,oaf,disklavier,0.0379
Scriabin,Sonatas_5,train,GarritsonL06M,kong,disklavier,0.0256
Scriabin,Sonatas_5,train,GarritsonL06M,T5,disklavier,0.0216
Scriabin,Sonatas_5,train,Ko07M,oaf,maestro,0.2484
Scriabin,Sonatas_5,train,Ko07M,T5,maestro,0.5058
Scriabin,Sonatas_5,train,Ko07M,kong,maestro,0.3223
Scriabin,Sonatas_5,train,Ko07M,kong,disklavier,0.0162
Scriabin,Sonatas_5,train,Ko07M,T5,disklavier,0.0149
Scriabin,Sonatas_5,train,Ko07M,oaf,disklavier,0.0188
Scriabin,Sonatas_5,train,Na07M,kong,maestro,0.4817
Scriabin,Sonatas_5,train,Na07M,T5,maestro,0.5143
Scriabin,Sonatas_5,train,Na07M,oaf,maestro,0.5053
Scriabin,Sonatas_5,train,Na07M,oaf,disklavier,0.0418
Scriabin,Sonatas_5,train,Na07M,T5,disklavier,0.0248
Scriabin,Sonatas_5,train,Na07M,kong,disklavier,0.0321
Scriabin,Sonatas_5,train,Yeletskiy07M,T5,maestro,0.4975
Scriabin,Sonatas_5,train,Yeletskiy07M,kong,maestro,0.4771
Scriabin,Sonatas_5,train,Yeletskiy07M,oaf,maestro,0.4693
Scriabin,Sonatas_5,train,Yeletskiy07M,oaf,disklavier,0.0126
Scriabin,Sonatas_5,train,Yeletskiy07M,kong,disklavier,0.0179
Scriabin,Sonatas_5,train,Yeletskiy07M,T5,disklavier,0.0118
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,kong,maestro,0.6501
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,T5,maestro,0.5053
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,oaf,maestro,0.7336
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,kong,disklavier,0.0088
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,oaf,disklavier,0.0115
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,T5,disklavier,0.0091
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,T5,maestro,0.4914
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,oaf,maestro,0.6791
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,kong,maestro,0.5987
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,T5,disklavier,0.0113
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,kong,disklavier,0.0118
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,oaf,disklavier,0.0172
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,kong,maestro,0.5699
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,T5,maestro,0.6018
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,oaf,maestro,0.6947
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,oaf,disklavier,0.0108
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,T5,disklavier,0.0087
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,kong,disklavier,0.0085
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,T5,maestro,0.5892
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,kong,maestro,0.6149
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,oaf,maestro,0.6917
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,kong,disklavier,0.003
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,T5,disklavier,0.0028
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,oaf,disklavier,0.0086
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,T5,maestro,0.4333
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,oaf,maestro,0.4989
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,kong,maestro,0.4677
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,T5,disklavier,0.0074
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,kong,disklavier,0.0115
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,oaf,disklavier,0.0142
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,kong,maestro,0.568
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,T5,maestro,0.3765
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,oaf,maestro,0.5874
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,oaf,disklavier,0.0152
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,kong,disklavier,0.01
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,T5,disklavier,0.0074
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,kong,maestro,0.6868
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,T5,maestro,0.6711
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,oaf,maestro,0.7196
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,oaf,disklavier,0.0216
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,T5,disklavier,0.009
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,kong,disklavier,0.0113
Chopin,Scherzos_20,validation,Kurz04M,kong,maestro,0.6494
Chopin,Scherzos_20,validation,Kurz04M,oaf,maestro,0.6261
Chopin,Scherzos_20,validation,Kurz04M,T5,maestro,0.5513
Chopin,Scherzos_20,validation,Kurz04M,oaf,disklavier,0.0513
Chopin,Scherzos_20,validation,Kurz04M,kong,disklavier,0.0539
Chopin,Scherzos_20,validation,Kurz04M,T5,disklavier,0.0513
Chopin,Scherzos_20,validation,ZhangYunling04M,oaf,maestro,0.5499
Chopin,Scherzos_20,validation,ZhangYunling04M,T5,maestro,0.5306
Chopin,Scherzos_20,validation,ZhangYunling04M,kong,maestro,0.4754
Chopin,Scherzos_20,validation,ZhangYunling04M,oaf,disklavier,0.0334
Chopin,Scherzos_20,validation,ZhangYunling04M,T5,disklavier,0.0254
Chopin,Scherzos_20,validation,ZhangYunling04M,kong,disklavier,0.034
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,kong,maestro,0.5801
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,oaf,maestro,0.6565
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,T5,maestro,0.5398
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,T5,disklavier,0.0068
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,oaf,disklavier,0.0087
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,kong,disklavier,0.0068
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,kong,maestro,0.6661
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,oaf,maestro,0.6853
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,T5,maestro,0.5829
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,T5,disklavier,0.0131
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,oaf,disklavier,0.0202
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,kong,disklavier,0.0144
