composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.4855,0.041,0.0,756.0,2508.0,0.5442,0.416
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.5965,0.5511,0.0,1185.0,6606.0,0.702,0.137
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.2052,0.5715,0.0,6567.0,38179.0,1.0464,0.0458
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.448,0.1945,0.0,1858.0,8794.0,1.5872,5.4337
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.7745,0.7748,0.0,1895.0,14723.0,2.0545,4.0898
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.7486,0.7187,0.0,1857.0,12915.0,1.9256,0.6723
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.1079,0.6342,0.0,6966.0,38150.0,4.5894,0.6592
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.6362,0.1521,0.0,425.0,1256.0,0.1135,0.152
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.3366,0.1483,0.0,1927.0,7752.0,0.4182,0.1781
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.1656,0.3104,0.0,499.0,1850.0,0.1382,4.5115
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.4002,0.0232,0.0,1731.0,6992.0,1.7127,1.0817
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.4304,0.0443,0.0,386.0,2045.0,0.1589,2.9804
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.5442,0.0584,0.0,461.0,1659.0,0.147,0.7798
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.0984,-0.0047,0.0,987.0,3860.0,0.1469,4.7346
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.2475,0.3346,0.0,6556.0,7617.0,0.4442,0.0599
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.2487,0.3827,0.0,904.0,2836.0,0.2787,0.199
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.0084,0.1408,0.0,5235.0,14732.0,3.0551,0.7111
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.3237,0.1457,0.0,1083.0,3790.0,1.6712,0.6683
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.3443,0.2559,0.0,1023.0,4002.0,0.6194,3.2601
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.1423,0.0271,0.0,733.0,2598.0,1.8196,5.6621
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.476,0.3867,0.0,435.0,1968.0,0.3162,0.1893
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.357,0.3379,0.0,2341.0,8074.0,0.5219,0.0597
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.4636,0.1975,0.0,716.0,3149.0,2.5076,4.6682
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.3062,0.0528,0.0,4974.0,12069.0,3.5461,0.7389
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.479,0.0855,0.0,739.0,2885.0,3.9422,0.8381
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,-0.0096,0.3989,0.0,5858.0,10158.0,0.3006,0.1094
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.1157,0.2391,0.0,568.0,1873.0,1.0244,0.141
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.0639,0.168,0.0,800.0,2906.0,1.9221,5.2459
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.3408,0.0831,0.0,3815.0,15043.0,3.6667,1.1528
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.3488,0.2316,0.0,879.0,3266.0,0.7215,4.5826
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.406,0.0766,0.0,568.0,2781.0,2.2963,1.1584
