composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0002,0.1859,0.0,7650.0,94317.0,nan,0.486,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4476,0.2846,0.0,2408.0,7548.0,0.0849,0.182,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6297,0.4464,0.0,1890.0,5998.0,3.5262,6.5293,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.061,0.157,0.0,3026.0,7878.0,0.1484,0.3122,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.433,0.171,0.0,1187.0,3210.0,0.2326,0.3087,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6614,0.32,0.0,1439.0,4700.0,3.3149,6.6388,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1047,0.1298,0.0,5009.0,18562.0,0.4674,0.276,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4079,0.1899,0.0,1698.0,4295.0,0.1553,0.2521,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6443,0.3348,0.0,1442.0,3551.0,3.2966,6.6522,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0003,0.1172,0.0,5957.0,44253.0,0.8351,0.2778,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3342,0.1142,0.0,2745.0,7938.0,0.203,0.3019,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5409,0.2663,0.0,1758.0,4318.0,3.2881,6.6005,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0116,0.1232,0.0,6968.0,77212.0,7.74,2.1372,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2548,0.1373,0.0,3241.0,9859.0,1.3894,1.0384,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3334,0.2269,0.0,2906.0,7239.0,3.9412,6.5351,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0237,0.1862,0.0,6718.0,33244.0,0.878,0.7299,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2592,0.1801,0.0,3546.0,18964.0,0.6067,0.534,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.4687,0.2597,0.0,2019.0,7639.0,3.5732,6.6201,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0831,0.0628,0.0,6241.0,61548.0,0.5048,0.3715,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2723,0.2328,0.0,3371.0,18308.0,0.7883,0.4419,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3701,0.1888,0.0,2241.0,7656.0,3.5735,6.5566,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0264,0.1266,0.0,6096.0,104452.0,6.8098,4.6984,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.162,0.0693,0.0,3638.0,15304.0,1.5544,0.9107,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,-0.0097,-0.0434,0.0,4593.0,18078.0,4.333,6.5894,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0023,-0.03,0.0,11381.0,154041.0,nan,nan,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2932,0.1952,0.0,3242.0,10594.0,4.8036,3.1195,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.091,0.0542,0.0,3330.0,11594.0,4.7088,7.3105,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1274,0.1256,0.0,6491.0,121642.0,0.7267,0.7991,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2836,0.1693,0.0,5876.0,84594.0,0.7843,0.4105,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1959,0.2018,0.0,3848.0,27454.0,3.4091,6.4921,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1144,0.1054,0.0,6903.0,92397.0,0.8585,0.4351,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2114,0.2512,0.0,4967.0,45074.0,0.5693,0.4448,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2564,0.1967,0.0,3887.0,23718.0,3.6322,6.4392,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.183,0.1237,0.0,6995.0,102282.0,8.3521,5.1029,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3594,0.121,0.0,4243.0,19430.0,1.3233,0.7039,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1251,0.0746,0.0,5325.0,25774.0,3.8337,6.4171,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.014,0.0393,0.0,9808.0,137947.0,nan,nan,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2938,0.1814,0.0,3575.0,11801.0,3.7968,2.1033,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0319,0.0419,0.0,4816.0,20692.0,4.4063,6.6248,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.0257,0.205,0.0,5472.0,16360.0,0.8173,0.5143,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.2468,0.1762,0.0,1404.0,4450.0,1.4802,0.5163,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.3016,0.1939,0.0,1575.0,5253.0,3.2878,6.6362,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1326,0.2424,0.0,5355.0,26490.0,0.4022,0.5101,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.2549,0.2018,0.0,1958.0,6399.0,0.8063,0.5083,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.2257,0.1968,0.0,1686.0,5552.0,3.2941,6.6358,norev,24
Chopin,Scherzos_31,train,T5,disklavier,0.1788,0.1884,0.0,4719.0,33947.0,1.2964,0.4483,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.2762,0.2735,0.0,2693.0,10052.0,1.6231,0.5511,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.1792,0.2017,0.0,1818.0,6440.0,3.3216,6.6198,norev,12
Chopin,Scherzos_31,train,T5,disklavier,-0.0289,0.1421,0.0,6157.0,89718.0,7.9116,1.1419,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.2546,0.2058,0.0,3159.0,13173.0,2.8978,0.6732,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.3266,0.2794,0.0,2398.0,8359.0,3.3094,6.5708,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.0047,0.1845,0.0,4713.0,22370.0,0.8368,0.47,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.2405,0.2011,0.0,1806.0,7078.0,1.153,0.5004,s,nonoise
