composer,title,split,model,recording,p_nov,r_nov,f_nov,reverb,snr
Chopin,Scherzos_31,train,kong,disklavier,0.01,0.002,0.0034,s,6
Chopin,Scherzos_31,train,oaf,disklavier,0.3016,0.2068,0.2454,s,6
Chopin,Scherzos_31,train,T5,disklavier,0.0503,0.1169,0.0703,m,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.2734,0.3247,0.2968,m,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.3565,0.2945,0.3225,m,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.0022,0.0017,0.0019,m,24
Chopin,Scherzos_31,train,kong,disklavier,0.0038,0.0027,0.0032,m,24
Chopin,Scherzos_31,train,oaf,disklavier,0.3181,0.2564,0.284,m,24
Chopin,Scherzos_31,train,T5,disklavier,0.0,0.0,0.0,m,12
Chopin,Scherzos_31,train,kong,disklavier,0.0071,0.0015,0.0025,m,12
Chopin,Scherzos_31,train,oaf,disklavier,0.0046,0.0024,0.0031,m,12
Chopin,Scherzos_31,train,T5,disklavier,0.0009,0.0002,0.0003,m,6
Chopin,Scherzos_31,train,kong,disklavier,0.0021,0.0002,0.0003,m,6
Chopin,Scherzos_31,train,oaf,disklavier,0.0018,0.001,0.0013,m,6
Chopin,Scherzos_31,train,T5,disklavier,0.019,0.0601,0.0288,l,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.0454,0.065,0.0535,l,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.1056,0.0829,0.0929,l,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.002,0.0026,0.0023,l,24
Chopin,Scherzos_31,train,kong,disklavier,0.0039,0.0027,0.0032,l,24
Chopin,Scherzos_31,train,oaf,disklavier,0.1012,0.078,0.0881,l,24
Chopin,Scherzos_31,train,T5,disklavier,0.0,0.0,0.0,l,12
Chopin,Scherzos_31,train,kong,disklavier,0.0035,0.0007,0.0011,l,12
Chopin,Scherzos_31,train,oaf,disklavier,0.041,0.0266,0.0323,l,12
Chopin,Scherzos_31,train,T5,disklavier,0.0,0.0,0.0,l,6
Chopin,Scherzos_31,train,kong,disklavier,0.0071,0.0005,0.001,l,6
Chopin,Scherzos_31,train,oaf,disklavier,0.0012,0.0007,0.0009,l,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0114,0.0106,0.011,norev,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0085,0.008,0.0083,norev,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0102,0.0092,0.0097,norev,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0107,0.0092,0.0099,norev,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0052,0.0049,0.0051,norev,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0092,0.0082,0.0087,norev,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0022,0.0012,0.0015,norev,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0039,0.0029,0.0033,norev,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0084,0.0074,0.0079,norev,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,norev,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0018,0.001,0.0013,norev,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0089,0.0068,0.0077,norev,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0108,0.0104,0.0106,s,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7184,0.6795,0.6984,s,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4363,0.3804,0.4064,s,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0097,0.007,0.0081,s,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0071,0.0065,0.0068,s,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0088,0.0076,0.0082,s,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,s,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0052,0.0027,0.0036,s,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0068,0.0055,0.0061,s,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,s,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0023,0.0006,0.0009,s,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0045,0.0027,0.0034,s,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0747,0.1278,0.0943,m,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1779,0.2337,0.202,m,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1949,0.1693,0.1812,m,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0007,0.0006,0.0006,m,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0983,0.0849,0.0911,m,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1655,0.1386,0.1508,m,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,m,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0012,0.0004,0.0006,m,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1009,0.0524,0.069,m,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0009,0.0002,0.0003,m,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0,0.0,0.0,m,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0214,0.0143,0.0171,m,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0244,0.0613,0.0349,l,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0164,0.0323,0.0217,l,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.098,0.0845,0.0908,l,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0002,0.0002,0.0002,l,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0161,0.0162,0.0162,l,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.092,0.0771,0.0839,l,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,l,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0,0.0,0.0,l,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0599,0.0409,0.0486,l,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0012,0.0002,0.0003,l,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0013,0.0002,0.0003,l,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0071,0.0023,0.0035,l,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0042,0.0045,0.0043,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0054,0.0052,0.0053,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0049,0.0045,0.0047,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0023,0.0022,0.0023,norev,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0047,0.0045,0.0046,norev,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0049,0.0045,0.0047,norev,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0014,0.0007,0.001,norev,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.003,0.0022,0.0025,norev,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0041,0.0037,0.0039,norev,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,norev,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0,0.0,0.0,norev,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.005,0.0045,0.0047,norev,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0032,0.0045,0.0037,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0055,0.006,0.0057,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0049,0.0045,0.0047,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0017,0.0015,0.0016,s,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0043,0.0045,0.0044,s,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0032,0.003,0.0031,s,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,s,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0014,0.0007,0.001,s,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0024,0.0022,0.0023,s,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,s,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0,0.0,0.0,s,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0018,0.0015,0.0016,s,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0008,0.0022,0.0012,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0019,0.003,0.0023,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0034,0.003,0.0032,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0017,0.0015,0.0016,m,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0024,0.0022,0.0023,m,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0042,0.0037,0.0039,m,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,m,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0063,0.0015,0.0024,m,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0009,0.0007,0.0008,m,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,m,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0,0.0,0.0,m,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0012,0.0007,0.0009,m,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0006,0.0022,0.001,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0009,0.0022,0.0012,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0024,0.0022,0.0023,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0017,0.0015,0.0016,l,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0,0.0,0.0,l,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0055,0.0052,0.0054,l,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,l,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0034,0.0007,0.0012,l,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0041,0.0037,0.0039,l,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,l,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0122,0.0007,0.0014,l,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0026,0.0015,0.0019,l,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.304,0.3147,0.3092,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5014,0.5137,0.5075,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3965,0.3748,0.3853,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3318,0.3039,0.3172,norev,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.4684,0.4639,0.4662,norev,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.367,0.3478,0.3572,norev,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0047,0.0025,0.0033,norev,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3408,0.3014,0.3199,norev,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3354,0.3192,0.3271,norev,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0,0.0,0.0,norev,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0031,0.0017,0.0022,norev,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.2735,0.2554,0.2642,norev,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2556,0.2898,0.2716,s,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.4003,0.4453,0.4216,s,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3142,0.3047,0.3094,s,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0024,0.0021,0.0022,s,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3473,0.3603,0.3537,s,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.2956,0.2877,0.2916,s,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0027,0.0008,0.0013,s,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0029,0.0021,0.0024,s,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.256,0.2438,0.2497,s,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0,0.0,0.0,s,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.003,0.0008,0.0013,s,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0028,0.0025,0.0026,s,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0344,0.0837,0.0488,m,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.2359,0.301,0.2645,m,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.2875,0.2591,0.2726,m,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0033,0.0021,0.0025,m,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.1826,0.1671,0.1745,m,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.2637,0.2376,0.2499,m,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0,0.0,0.0,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0051,0.0008,0.0014,m,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.1822,0.1625,0.1718,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0,0.0,0.0,m,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0035,0.0017,0.0022,m,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0218,0.0614,0.0321,l,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0105,0.0195,0.0136,l,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.1213,0.109,0.1148,l,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0018,0.0012,0.0015,l,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0015,0.0012,0.0014,l,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.1145,0.1053,0.1097,l,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0,0.0,0.0,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0,0.0,0.0,l,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0059,0.0054,0.0056,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0,0.0,0.0,l,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0065,0.0029,0.004,l,6
Mozart,kv332_1,batik_mozart,T5,batik_audio,0.0721,0.0986,0.0833,norev,nonoise
