composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4999,0.1687,0.0,4240.0,19431.0,2.3897,1.0743,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1307,0.2831,0.0,5314.0,25774.0,2.3429,4.8302,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2416,0.2024,0.0,9808.0,137947.0,16.4448,13.8924,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1028,0.1144,0.0,3569.0,11801.0,2.4703,1.3484,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0681,0.1448,0.0,4824.0,20692.0,2.7935,4.1982,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.1746,0.4514,0.0,5485.0,16360.0,0.7838,0.5186,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.7156,0.4793,0.0,1408.0,4450.0,1.425,0.535,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.694,0.6252,0.0,1575.0,5253.0,1.6537,4.6147,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1971,0.3476,0.0,5354.0,26490.0,0.8765,0.5028,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.5752,0.4987,0.0,1961.0,6394.0,1.2483,0.5444,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.686,0.6241,0.0,1692.0,5552.0,1.5923,4.6372,norev,24
Chopin,Scherzos_31,train,T5,disklavier,0.2111,0.1454,0.0,4720.0,33947.0,2.2785,0.7371,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.2247,0.229,0.0,2688.0,10052.0,1.9037,0.6539,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.6,0.6112,0.0,1815.0,6440.0,1.4793,4.5761,norev,12
Chopin,Scherzos_31,train,T5,disklavier,0.1693,0.1485,0.0,6155.0,89718.0,15.3507,2.3835,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.2073,0.1889,0.0,3162.0,13174.0,3.5527,0.9599,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.431,0.5432,0.0,2425.0,8359.0,1.5154,4.6685,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.2727,0.41,0.0,4705.0,22370.0,0.9589,0.631,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.6324,0.4078,0.0,1802.0,7078.0,1.4879,0.6835,s,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.634,0.604,0.0,1926.0,7124.0,1.3328,4.6717,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.212,0.2614,0.0,6509.0,34283.0,1.1452,0.5834,s,24
Chopin,Scherzos_31,train,kong,disklavier,0.4926,0.3906,0.0,2410.0,9617.0,1.5299,0.7173,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.5769,0.5946,0.0,2177.0,7187.0,1.5097,4.6045,s,24
Chopin,Scherzos_31,train,T5,disklavier,0.2036,0.0851,0.0,8450.0,36605.0,4.425,1.0481,s,12
Chopin,Scherzos_31,train,kong,disklavier,0.21,0.1704,0.0,3642.0,13666.0,1.1911,1.1478,s,12
Chopin,Scherzos_31,train,oaf,disklavier,0.6331,0.5689,0.0,2327.0,8492.0,1.5855,4.6502,s,12
Chopin,Scherzos_31,train,T5,disklavier,-0.116,0.2372,0.0,7247.0,40892.0,15.8395,8.5682,s,6
Chopin,Scherzos_31,train,kong,disklavier,0.2607,0.2088,0.0,3740.0,16013.0,4.6622,1.7851,s,6
Chopin,Scherzos_31,train,oaf,disklavier,0.5049,0.5329,0.0,3256.0,11449.0,1.218,4.7483,s,6
Chopin,Scherzos_31,train,T5,disklavier,0.0567,0.2532,0.0,7638.0,46699.0,1.3929,1.3267,m,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.6185,0.4172,0.0,2928.0,16930.0,1.1889,0.7997,m,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.6818,0.6133,0.0,2246.0,8889.0,1.3084,4.5979,m,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1602,0.0948,0.0,7530.0,51720.0,5.2631,1.3623,m,24
Chopin,Scherzos_31,train,kong,disklavier,0.3124,0.2704,0.0,3363.0,16474.0,1.7482,1.0139,m,24
Chopin,Scherzos_31,train,oaf,disklavier,0.6332,0.6052,0.0,2280.0,9687.0,1.521,4.5049,m,24
Chopin,Scherzos_31,train,T5,disklavier,0.146,-0.0364,0.0,10820.0,142175.0,15.5617,8.6884,m,12
Chopin,Scherzos_31,train,kong,disklavier,0.3613,0.1183,0.0,3994.0,16543.0,4.83,1.8078,m,12
Chopin,Scherzos_31,train,oaf,disklavier,0.262,0.3515,0.0,5263.0,19602.0,1.6286,4.5949,m,12
