composer,title,split,performer,model,recording,p_f,r_f,f_f
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.9007,0.9655,0.932
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.7724,0.8961,0.8297
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.5107,0.7389,0.604
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.8367,0.8678,0.8519
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.8692,0.8822,0.8757
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.6934,0.9401,0.7981
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.8438,0.9277,0.8838
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.9303,0.9396,0.9349
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.8716,0.8525,0.862
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.5389,0.6387,0.5846
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.8434,0.8404,0.8419
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.9081,0.9475,0.9274
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.8256,0.9043,0.8631
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.6482,0.9432,0.7683
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.5598,0.5305,0.5447
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.5649,0.6661,0.6113
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.8707,0.8271,0.8483
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.7341,0.9415,0.825
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.8418,0.9192,0.8788
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.8939,0.9487,0.9204
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.8601,0.875,0.8675
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.5527,0.7722,0.6442
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.8965,0.9056,0.901
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.6422,0.9492,0.7661
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.8062,0.9131,0.8563
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.8967,0.9564,0.9256
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.8733,0.8505,0.8617
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,disklavier,0.8932,0.8603,0.8764
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.6467,0.7138,0.6786
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,maestro,0.8749,0.9561,0.9137
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,maestro,0.7919,0.911,0.8473
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,maestro,0.566,0.9448,0.7079
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,disklavier,0.8627,0.8755,0.8691
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,disklavier,0.4405,0.626,0.5171
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,disklavier,0.8489,0.8647,0.8567
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,maestro,0.6928,0.963,0.8059
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,maestro,0.9321,0.9614,0.9465
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,maestro,0.848,0.9453,0.894
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,disklavier,0.8471,0.8934,0.8696
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,disklavier,0.5687,0.6698,0.6151
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,disklavier,0.8447,0.8601,0.8524
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,maestro,0.8191,0.9044,0.8597
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,maestro,0.6876,0.8796,0.7718
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,maestro,0.8258,0.8633,0.8441
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,disklavier,0.8813,0.8299,0.8548
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,disklavier,0.486,0.6933,0.5715
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,disklavier,0.8643,0.8119,0.8373
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,maestro,0.8431,0.959,0.8973
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,maestro,0.6147,0.9591,0.7492
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,maestro,0.9182,0.9695,0.9431
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,disklavier,0.4424,0.7321,0.5515
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,disklavier,0.5031,0.5149,0.5089
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,disklavier,0.8803,0.8786,0.8794
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,maestro,0.8857,0.9626,0.9226
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,maestro,0.7016,0.9633,0.8119
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,maestro,0.9355,0.9639,0.9495
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,disklavier,0.8952,0.8401,0.8668
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,disklavier,0.5336,0.6976,0.6047
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,disklavier,0.8873,0.8452,0.8657
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,maestro,0.6802,0.9587,0.7958
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,maestro,0.9148,0.9558,0.9349
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,maestro,0.8033,0.9273,0.8609
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,disklavier,0.4539,0.7549,0.5669
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,disklavier,0.7942,0.8258,0.8097
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,disklavier,0.859,0.8775,0.8681
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,maestro,0.8054,0.9674,0.879
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,maestro,0.8831,0.9525,0.9165
