composer,title,split,performer,model,recording,p_f,r_f,f_f
Scriabin,Sonatas_5,train,Ko07M,kong,disklavier,0.8849,0.8854,0.8852
Scriabin,Sonatas_5,train,Ko07M,T5,disklavier,0.5638,0.7346,0.6379
Scriabin,Sonatas_5,train,Na07M,oaf,maestro,0.9258,0.8522,0.8875
Scriabin,Sonatas_5,train,Na07M,kong,maestro,0.9199,0.9128,0.9163
Scriabin,Sonatas_5,train,Na07M,T5,maestro,0.6412,0.8976,0.748
Scriabin,Sonatas_5,train,Na07M,kong,disklavier,0.8833,0.8278,0.8547
Scriabin,Sonatas_5,train,Na07M,oaf,disklavier,0.9451,0.7655,0.8459
Scriabin,Sonatas_5,train,Na07M,T5,disklavier,0.4878,0.7083,0.5777
Scriabin,Sonatas_5,train,Yeletskiy07M,oaf,maestro,0.9434,0.8421,0.8899
Scriabin,Sonatas_5,train,Yeletskiy07M,kong,maestro,0.9471,0.8084,0.8723
Scriabin,Sonatas_5,train,Yeletskiy07M,T5,maestro,0.7789,0.9345,0.8496
Scriabin,Sonatas_5,train,Yeletskiy07M,kong,disklavier,0.897,0.8214,0.8575
Scriabin,Sonatas_5,train,Yeletskiy07M,oaf,disklavier,0.9562,0.7693,0.8526
Scriabin,Sonatas_5,train,Yeletskiy07M,T5,disklavier,0.5971,0.6686,0.6309
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,kong,maestro,0.8793,0.9442,0.9106
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,T5,maestro,0.5041,0.9342,0.6549
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,oaf,maestro,0.8026,0.8975,0.8474
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,kong,disklavier,0.851,0.8802,0.8653
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,T5,disklavier,0.6164,0.6807,0.6469
Beethoven,Piano_Sonatas_11-1,validation,LiC03M,oaf,disklavier,0.7955,0.814,0.8046
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,kong,maestro,0.8151,0.9708,0.8862
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,oaf,maestro,0.8218,0.9282,0.8718
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,T5,maestro,0.501,0.9342,0.6523
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,T5,disklavier,0.4422,0.7705,0.5619
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,kong,disklavier,0.8554,0.8878,0.8713
Beethoven,Piano_Sonatas_11-1,validation,LiYZ03M,oaf,disklavier,0.8306,0.8501,0.8402
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,T5,maestro,0.5521,0.9084,0.6868
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,kong,maestro,0.8239,0.927,0.8724
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,oaf,maestro,0.7162,0.8778,0.7888
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,kong,disklavier,0.8176,0.8815,0.8483
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,T5,disklavier,0.4147,0.7722,0.5396
Beethoven,Piano_Sonatas_11-1,validation,MaximovI02M,oaf,disklavier,0.7527,0.8386,0.7933
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,T5,maestro,0.5393,0.9256,0.6816
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,oaf,maestro,0.8245,0.9208,0.87
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,kong,maestro,0.889,0.9534,0.9201
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,T5,disklavier,0.5991,0.73,0.6581
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,oaf,disklavier,0.2274,0.2305,0.2289
Beethoven,Piano_Sonatas_11-1,validation,ZhaoK02M,kong,disklavier,0.8766,0.885,0.8808
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,kong,maestro,0.8689,0.9445,0.9051
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,oaf,maestro,0.8375,0.9132,0.8737
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,T5,maestro,0.5927,0.9147,0.7193
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,kong,disklavier,0.919,0.8698,0.8937
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,T5,disklavier,0.5219,0.7053,0.5999
Beethoven,Piano_Sonatas_27-1,validation,GiacomelliN04M,oaf,disklavier,0.9171,0.8082,0.8592
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,T5,maestro,0.5411,0.9297,0.6841
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,oaf,maestro,0.866,0.9016,0.8835
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,kong,maestro,0.8696,0.9487,0.9074
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,oaf,disklavier,0.9176,0.849,0.882
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,kong,disklavier,0.9187,0.9087,0.9137
Beethoven,Piano_Sonatas_27-1,validation,Ko05M,T5,disklavier,0.4297,0.7783,0.5537
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,kong,maestro,0.8925,0.952,0.9213
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,T5,maestro,0.6242,0.9372,0.7493
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,oaf,maestro,0.864,0.9049,0.884
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,oaf,disklavier,0.9144,0.8068,0.8572
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,T5,disklavier,0.5023,0.7587,0.6045
Beethoven,Piano_Sonatas_27-1,validation,MiyashitaM02M,kong,disklavier,0.8851,0.8526,0.8685
Chopin,Scherzos_20,validation,Kurz04M,kong,maestro,0.9119,0.9198,0.9159
Chopin,Scherzos_20,validation,Kurz04M,oaf,maestro,0.8921,0.8334,0.8617
Chopin,Scherzos_20,validation,Kurz04M,T5,maestro,0.6717,0.882,0.7626
Chopin,Scherzos_20,validation,Kurz04M,oaf,disklavier,0.929,0.7819,0.8491
Chopin,Scherzos_20,validation,Kurz04M,kong,disklavier,0.8935,0.8668,0.88
Chopin,Scherzos_20,validation,Kurz04M,T5,disklavier,0.5425,0.7602,0.6331
Chopin,Scherzos_20,validation,ZhangYunling04M,T5,maestro,0.6289,0.9186,0.7466
Chopin,Scherzos_20,validation,ZhangYunling04M,oaf,maestro,0.8731,0.8897,0.8813
Chopin,Scherzos_20,validation,ZhangYunling04M,kong,maestro,0.8952,0.9467,0.9203
Chopin,Scherzos_20,validation,ZhangYunling04M,T5,disklavier,0.6146,0.7722,0.6845
Chopin,Scherzos_20,validation,ZhangYunling04M,oaf,disklavier,0.9072,0.8334,0.8687
Chopin,Scherzos_20,validation,ZhangYunling04M,kong,disklavier,0.9024,0.8836,0.8929
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,T5,maestro,0.5769,0.8798,0.6968
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,oaf,maestro,0.6446,0.8436,0.7308
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,kong,maestro,0.7473,0.9271,0.8275
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,T5,disklavier,0.5903,0.6839,0.6336
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,kong,disklavier,0.7894,0.8333,0.8107
Haydn,Keyboard_Sonatas_39-1,validation,Yarden07M,oaf,disklavier,0.7251,0.8686,0.7904
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,oaf,maestro,0.6426,0.8938,0.7476
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,T5,maestro,0.13,0.2217,0.1639
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,kong,maestro,0.7613,0.9315,0.8378
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,kong,disklavier,0.805,0.8289,0.8168
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,oaf,disklavier,0.6482,0.736,0.6893
Haydn,Keyboard_Sonatas_39-3,validation,Yarden07M,T5,disklavier,0.524,0.6626,0.5852
